,Time_s,Ext_Disp_mm,Force_N,Globe_Disp_1_mm,Globe_Disp_2_mm,Stress_Mpa,Strain_mm/mm
213,21.3,0.096771,1003.190959,3.499981,1.324573,405.3296804040404,0.10192140361094933
214,21.4,0.095564,1008.248804,3.57176,1.474701,407.3732541414141,0.10401164822364588
215,21.5,0.095559,1007.882319,3.590522,1.310564,407.2251793939394,0.10455800815375654
216,21.6,0.097848,1015.993445,3.638445,1.432761,410.502402020202,0.10595355270821198
217,21.7,0.095833,1015.988381,3.690231,1.491834,410.50035595959594,0.10746158998252765
218,21.8,0.097559,1024.168097,3.723923,1.522581,413.8052917171717,0.1084427198602213
219,21.9,0.103198,1029.967938,3.75334,1.540089,416.1486618181818,0.10929935934769947
220,22.0,0.097562,1031.333091,3.796136,1.53725,416.70023878787873,0.11054560279557367
221,22.1,0.101059,1040.870657,3.815468,1.560474,420.5538008080808,0.11110856144437972
222,22.2,0.096877,1044.183017,3.860481,1.578093,421.8921280808081,0.1124193651718113
223,22.3,0.093745,1050.065003,3.896135,1.559238,424.26868808080803,0.11345762958648806
224,22.4,0.094262,1054.843428,3.951144,1.496845,426.1993648484848,0.11505952242283052
225,22.5,0.096654,1059.407268,3.992984,1.572802,428.04334060606055,0.11627792661619102
226,22.6,0.091624,1061.323844,4.043113,1.59168,428.8177147474747,0.11773771112405357
227,22.7,0.092085,1070.66334,4.062277,1.460217,432.5912484848485,0.11829577751892835
228,22.8,0.094214,1074.174301,4.129666,1.595843,434.00981858585857,0.12025818287711124
229,22.9,0.094108,1075.813148,4.164026,1.611934,434.67197898989895,0.12125876528829352
230,23.0,0.099726,1079.409184,4.186844,1.535922,436.1249228282829,0.12192323820617354
231,23.1,0.099058,1083.630254,4.239464,1.665158,437.83040565656563,0.1234555620267909
232,23.2,0.102981,1088.621216,4.283833,1.662768,439.84695595959596,0.12474761211415257
233,23.3,0.098358,1087.508618,4.299811,1.590219,439.39742141414143,0.12521290040768782
234,23.4,0.099188,1096.819484,4.342793,1.533471,443.1593874747475,0.12646456027955735
235,23.5,0.087906,1097.286896,4.36895,1.486077,443.34824080808085,0.12722626674432147
236,23.6,0.092599,1099.11497,4.399192,1.405027,444.0868565656566,0.1281069306930693
237,23.7,0.099054,1102.629916,4.458401,1.550804,445.50703676767677,0.12983112987769366
238,23.8,0.096607,1105.200787,4.455382,1.285192,446.5457725252525,0.12974321490972626
239,23.9,0.09599,1108.653888,4.491751,1.282092,447.94096484848484,0.13080230052417005
240,24.0,0.097826,1109.868095,4.529138,1.351237,448.43155353535354,0.13189103086779264
241,24.1,0.092617,1114.37489,4.558455,1.254424,450.2524808080808,0.13274475829935933
242,24.2,0.098238,1119.542687,4.5865,1.189646,452.34047959595955,0.13356144437973208
243,24.3,0.101178,1121.790794,4.632495,1.307499,453.24880565656565,0.1349008444962143
244,24.4,0.098169,1124.930535,4.648646,1.205326,454.5173878787879,0.1353711706464764
245,24.5,0.094044,1128.457491,4.703697,1.315885,455.9424206060605,0.13697428654630167
246,24.6,0.098466,1133.403643,4.718515,1.250943,457.9408658585859,0.13740579499126382
247,24.7,0.096957,1132.772714,4.759305,1.187302,457.68594505050504,0.13859362259755387
248,24.8,0.096418,1135.213006,4.790947,1.313281,458.67192161616157,0.1395150553290623
249,24.9,0.100199,1134.490515,4.80572,1.23614,458.38000606060604,0.1399452533488643
250,25.0,0.09447,1139.216047,4.829034,1.178056,460.28931191919185,0.14062417006406522
251,25.1,0.087424,1142.123657,4.851956,1.156451,461.46410383838383,0.14129167152009317
252,25.2,0.092572,1147.780558,4.891791,1.19594,463.7497204040404,0.14245168899242863
253,25.3,0.101777,1153.474714,4.928924,1.163254,466.05038949494946,0.1435330227140361
254,25.4,0.101504,1155.628452,4.975925,1.280693,466.9205866666666,0.14490171811298777
255,25.5,0.096681,1157.683957,5.008669,1.199443,467.7510937373737,0.14585524170064065
256,25.6,0.097837,1160.741267,5.031556,1.229427,468.98637050505056,0.14652172393709958
257,25.7,0.097888,1160.635413,5.063017,1.194393,468.94360121212117,0.14743788584740827
258,25.8,0.09985,1163.949626,5.097497,1.2078,470.2826771717172,0.1484419627256843
259,25.9,0.095696,1170.401812,5.131071,1.277107,472.889621010101,0.14941965637740245
260,26.0,0.096304,1170.622877,5.165043,1.317361,472.97894020202017,0.1504089400116482
261,26.1,0.091934,1170.124971,5.190013,1.323995,472.77776606060604,0.15113608037274315
262,26.2,0.097977,1177.884336,5.218089,1.288486,475.9128630303031,0.15195366919044845
263,26.3,0.103025,1181.137432,5.254621,1.27894,477.2272452525252,0.15301750145602794
264,26.4,0.09739,1183.111402,5.290844,1.242349,478.02480888888886,0.15407233546884097
265,26.5,0.09088,1182.539589,5.333063,1.271427,477.7937733333333,0.155301776354106
266,26.6,0.099557,1182.493182,5.361542,1.295624,477.775023030303,0.15613110075713452
267,26.7,0.08875,1187.6687,5.386766,1.27584,479.8661414141414,0.1568656377402446
268,26.8,0.09656,1193.246451,5.419013,1.260133,482.11977818181816,0.15780468841001744
269,26.9,0.091917,1192.410276,5.429559,1.178736,481.7819296969697,0.15811179382644147
270,27.0,0.090319,1194.281812,5.447228,1.106112,482.5381058585858,0.15862632498543972
271,27.1,0.111138,1197.427275,5.483295,1.155257,483.80899999999997,0.15967661619103085
272,27.2,0.100244,1204.969396,5.513696,1.156355,486.8563216161616,0.16056191030867792
273,27.3,0.096107,1204.300182,5.562166,1.210671,486.58593212121207,0.16197338380896914
274,27.4,0.094034,1201.388677,5.592331,1.18786,485.4095664646464,0.1628518054746651
275,27.5,0.100438,1207.473186,5.609152,1.085505,487.8679539393939,0.16334164239953405
276,27.6,0.096499,1210.374616,5.676448,1.23394,489.04024888888887,0.16530133954571927
277,27.7,0.099989,1214.054093,5.689082,1.185585,490.52690626262626,0.16566924868957483
278,27.8,0.099598,1215.608424,5.730007,1.225295,491.1549187878788,0.16686100757134534
279,27.9,0.094124,1211.861587,5.755535,1.271245,489.64104525252526,0.1676043972044263
280,28.0,0.102997,1212.573561,5.775607,1.295591,489.92871151515146,0.16818890506697726
281,28.1,0.100731,1218.524214,5.806866,1.265113,492.33301575757577,0.16909918462434478
282,28.2,0.091054,1219.198038,5.823444,1.230506,492.60526787878786,0.16958194525334885
283,28.3,0.094068,1220.327759,5.857098,1.156232,493.0617208080808,0.17056196854979613
284,28.4,0.100742,1221.042273,5.871759,1.09849,493.35041333333334,0.17098890506697725
285,28.5,0.090781,1226.447403,5.916496,1.210119,495.5343042424242,0.17229167152009317
286,28.6,0.09679,1232.36518,5.929638,0.994757,497.9253252525252,0.17267437390797902
287,28.7,0.098452,1229.534756,5.971191,1.110043,496.7817195959596,0.1738844205008736
288,28.8,0.102869,1232.890321,5.990652,1.018715,498.13750343434344,0.17445113570180545
289,28.9,0.09562,1231.493314,6.027983,1.075183,497.5730561616162,0.17553823529411763
290,29.0,0.099935,1231.662458,6.055828,1.098154,497.6413971717172,0.17634909726266743
291,29.1,0.107015,1235.297785,6.078159,1.074683,499.1102161616161,0.17699938846825858
292,29.2,0.094686,1238.038101,6.104256,1.08767,500.2174145454546,0.17775934769947582
293,29.3,0.091477,1239.924332,6.152997,1.173763,500.9795280808081,0.17917871287128712
